Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
187,Killian Hayes,PG,21,DET,24,11,24.0,3.2,8.5,.373,0.9,2.8,.318,2.3,5.8,.399,.424,0.7,0.8,.842,0.5,2.2,2.7,4.6,1.1,0.4,1.7,2.9,7.9,hayeski01
188,Gordon Hayward,SF,32,CHO,11,11,32.3,5.9,13.3,.445,1.5,3.8,.381,4.5,9.5,.471,.500,3.0,3.9,.767,0.6,3.6,4.3,4.4,0.6,0.3,2.5,0.9,16.3,haywago01
189,Juancho Hernangómez,PF,27,TOR,14,3,17.9,2.0,3.9,.519,0.6,2.0,.321,1.4,1.9,.731,.602,0.1,0.4,.400,0.9,3.3,4.2,0.9,0.7,0.2,0.6,1.4,4.8,hernaju01
190,Willy Hernangómez,C,28,NOP,9,0,8.8,1.7,3.6,.469,0.0,0.3,.000,1.7,3.2,.517,.469,1.1,1.3,.833,1.3,2.2,3.6,0.2,0.2,0.1,1.0,0.8,4.4,hernawi01
191,Tyler Herro,SG,23,MIA,14,14,32.8,6.7,15.5,.433,2.4,7.0,.337,4.4,8.5,.513,.509,2.6,2.9,.878,0.6,5.9,6.5,4.1,0.6,0.6,2.5,1.8,18.4,herroty01
192,Buddy Hield,SG,30,IND,21,21,31.2,6.0,14.2,.421,3.5,9.6,.368,2.5,4.7,.531,.545,1.6,1.9,.872,1.0,3.6,4.6,2.6,1.0,0.4,2.1,2.2,17.1,hieldbu01
193,Haywood Highsmith,SF,26,MIA,13,1,18.5,1.5,4.5,.345,0.7,2.3,.300,0.8,2.2,.393,.422,0.3,0.8,.400,1.0,3.1,4.1,0.6,0.6,0.3,0.8,0.8,4.1,highsha01
194,George Hill,PG,36,MIL,20,0,20.8,1.7,4.2,.410,0.7,2.2,.295,1.1,2.0,.538,.488,1.3,1.9,.684,0.4,1.6,2.0,2.5,0.4,0.2,0.7,1.4,5.4,hillge01
195,Malcolm Hill,SF,27,CHI,3,0,0.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,hillma01
196,Aaron Holiday,PG,26,ATL,20,1,17.0,1.7,4.0,.413,0.6,1.3,.462,1.1,2.7,.389,.488,0.4,0.6,.727,0.4,1.0,1.4,1.4,0.7,0.2,0.8,1.8,4.3,holidaa01
197,Jrue Holiday,PG,32,MIL,16,15,31.9,6.8,15.5,.440,1.9,5.9,.326,4.9,9.6,.510,.502,2.2,2.5,.875,1.3,3.6,4.9,7.3,1.6,0.6,3.2,2.0,17.8,holidjr01
198,Justin Holiday,SG,33,ATL,18,0,16.8,2.2,5.4,.402,1.3,3.8,.353,0.8,1.6,.517,.526,0.0,0.0,,0.1,0.9,0.9,0.9,0.2,0.3,0.6,1.7,5.7,holidju01
199,Richaun Holmes,PF,29,SAC,11,0,10.9,1.5,2.2,.667,0.1,0.2,.500,1.4,2.0,.682,.688,0.4,0.5,.667,0.7,1.5,2.3,0.0,0.2,0.1,0.5,1.6,3.4,holmeri01
200,Al Horford,C,36,BOS,18,18,31.3,4.2,7.6,.555,2.2,4.4,.488,2.1,3.2,.649,.697,0.3,0.4,.625,1.1,5.2,6.3,2.8,0.4,0.9,0.7,1.9,10.9,horfoal01
201,Talen Horton-Tucker,SG,22,UTA,23,0,16.7,2.8,7.0,.395,0.8,2.9,.269,2.0,4.1,.484,.451,1.1,1.5,.765,0.5,2.0,2.5,2.2,0.8,0.4,1.3,1.5,7.5,hortota01
202,Danuel House Jr.,SF,29,PHI,20,2,18.3,1.6,3.4,.471,0.7,2.0,.359,0.9,1.5,.621,.574,1.1,1.4,.750,0.2,1.8,2.0,0.8,0.3,0.3,0.6,1.3,5.0,houseda01
203,Caleb Houstan,SF,20,ORL,17,1,18.4,1.4,3.5,.383,0.9,2.6,.364,0.4,0.9,.438,.517,0.5,0.6,.800,0.6,1.9,2.5,0.8,0.2,0.1,0.3,1.6,4.1,houstca01
204,Trevor Hudgins,PG,23,HOU,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,hudgitr01
205,Kevin Huerter,SG,24,SAC,20,20,32.0,5.6,11.4,.489,3.2,7.1,.451,2.4,4.3,.553,.630,1.6,2.4,.681,0.4,3.1,3.5,3.2,1.1,0.5,1.6,2.4,15.9,huertke01
206,De'Andre Hunter,SF,25,ATL,21,21,30.9,5.4,12.0,.447,1.3,3.8,.354,4.0,8.3,.489,.502,2.8,3.5,.808,0.7,3.3,4.0,1.1,0.3,0.1,1.3,3.0,14.9,huntede01
207,Bones Hyland,PG,22,DEN,13,0,21.5,4.8,12.3,.394,2.8,6.5,.440,2.0,5.8,.342,.509,2.5,2.9,.842,0.2,1.8,2.1,3.6,0.6,0.3,1.8,1.8,15.0,hylanbo01
208,Serge Ibaka,PF,33,MIL,14,0,11.4,1.6,3.1,.523,0.4,1.0,.429,1.2,2.1,.567,.591,0.6,0.9,.615,0.9,2.0,2.9,0.3,0.0,0.4,0.6,1.4,4.3,ibakase01
209,Brandon Ingram,SF,25,NOP,15,15,32.1,7.3,15.4,.472,1.9,4.0,.467,5.4,11.4,.474,.532,4.4,5.1,.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8,ingrabr01
