Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
270,Kevin Love,PF,34,CLE,16,1,20.7,3.2,7.6,.418,2.3,5.6,.404,0.9,2.1,.455,.566,1.9,2.3,.861,0.8,6.4,7.2,2.5,0.1,0.2,1.1,1.4,10.6,loveke01
271,Kyle Lowry,PG,36,MIA,22,22,36.4,4.3,11.0,.391,2.4,6.7,.351,2.0,4.3,.453,.498,3.6,4.2,.859,0.8,4.0,4.8,6.1,1.1,0.6,2.5,2.8,14.6,lowryky01
272,Trey Lyles,PF,27,SAC,16,0,14.7,2.2,5.3,.412,1.3,3.8,.350,0.9,1.6,.560,.535,1.0,1.4,.727,1.1,1.8,2.8,0.8,0.4,0.4,1.1,1.1,6.7,lylestr01
273,Théo Maledon,PG,21,CHO,19,1,16.5,1.9,4.2,.456,0.6,1.6,.367,1.3,2.6,.510,.525,1.1,1.2,.870,0.2,2.3,2.4,2.5,0.8,0.2,1.3,1.1,5.4,maledth01
274,Sandro Mamukelashvili,C,23,MIL,9,0,5.6,0.7,1.9,.353,0.1,0.9,.125,0.6,1.0,.556,.382,0.4,0.9,.500,0.3,0.9,1.2,0.1,0.0,0.0,0.2,0.4,1.9,mamuksa01
275,Terance Mann,SG,26,LAC,23,11,21.3,3.2,5.7,.557,0.6,1.8,.333,2.6,3.9,.663,.611,1.0,1.4,.719,0.8,2.4,3.2,1.8,0.6,0.2,1.1,1.9,8.0,mannte01
276,Tre Mann,PG,21,OKC,19,4,22.6,3.8,9.7,.389,1.5,5.3,.287,2.3,4.4,.512,.468,0.5,0.8,.625,0.6,2.3,2.9,1.9,0.9,0.1,1.1,1.8,9.6,manntr01
277,Boban Marjanović,C,34,HOU,7,0,3.6,0.4,1.0,.429,0.0,0.1,.000,0.4,0.9,.500,.429,0.6,0.9,.667,0.1,0.9,1.0,0.1,0.1,0.1,0.3,0.1,1.4,marjabo01
278,Lauri Markkanen,SF,25,UTA,24,24,33.9,8.1,15.3,.531,2.5,6.3,.395,5.6,9.0,.628,.613,3.5,4.2,.822,2.3,6.2,8.5,2.2,0.5,0.7,2.1,2.1,22.2,markkla01
279,Naji Marshall,SF,25,NOP,19,4,20.2,2.4,5.8,.418,0.8,2.3,.341,1.6,3.5,.470,.486,1.0,1.3,.760,0.8,2.1,2.8,2.0,0.6,0.2,0.9,1.2,6.6,marshna01
280,Caleb Martin,PF,27,MIA,21,21,32.4,4.4,9.1,.484,1.4,3.4,.408,3.0,5.8,.529,.560,1.0,1.3,.786,1.9,3.3,5.2,2.1,1.3,0.4,1.2,2.0,11.3,martica02
281,Cody Martin,SF,27,CHO,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,martico01
282,Kenyon Martin Jr.,SF,22,HOU,21,5,24.8,4.2,7.8,.543,1.0,3.0,.333,3.2,4.8,.673,.607,1.5,2.3,.646,1.4,3.9,5.3,1.5,0.4,0.5,1.3,1.8,11.0,martike04
283,Tyrese Martin,SG,23,ATL,7,0,3.0,0.4,0.9,.500,0.1,0.4,.333,0.3,0.4,.667,.583,0.0,0.0,,0.3,0.3,0.6,0.0,0.1,0.0,0.0,0.1,1.0,martity01
284,Garrison Mathews,SG,26,HOU,18,0,13.6,1.4,3.7,.379,1.3,3.5,.381,0.1,0.2,.333,.561,1.1,1.1,.950,0.1,1.0,1.1,0.4,0.4,0.1,0.3,1.5,5.2,mathega01
285,Bennedict Mathurin,SG,20,IND,21,0,28.0,6.0,13.7,.434,2.3,5.7,.403,3.7,8.0,.456,.517,5.0,6.1,.814,1.3,2.6,4.0,1.5,0.6,0.1,2.0,1.9,19.2,mathube01
286,Wesley Matthews,SG,36,MIL,17,0,15.8,1.1,3.4,.316,0.8,2.6,.311,0.2,0.7,.333,.439,0.4,0.5,.875,0.9,1.1,1.9,0.5,0.5,0.2,0.4,1.6,3.4,matthwe02
287,Tyrese Maxey,SG,22,PHI,15,15,36.4,8.4,18.2,.462,2.9,6.8,.422,5.5,11.4,.485,.540,3.2,4.3,.738,0.4,3.1,3.5,4.4,1.0,0.3,2.0,2.3,22.9,maxeyty01
288,Miles McBride,PG,22,NYK,10,0,5.9,0.9,2.2,.409,0.1,1.0,.100,0.8,1.2,.667,.432,0.1,0.4,.250,0.0,0.2,0.2,1.0,0.4,0.0,0.1,0.7,2.0,mcbrimi01
289,CJ McCollum,SG,31,NOP,17,17,35.1,7.4,17.9,.410,2.4,7.1,.342,4.9,10.9,.454,.477,1.6,2.0,.794,1.1,4.0,5.1,6.1,1.2,0.6,2.1,1.8,18.7,mccolcj01
290,T.J. McConnell,PG,30,IND,20,0,17.8,2.4,5.4,.449,0.2,0.6,.333,2.2,4.8,.463,.467,0.5,0.6,.909,0.7,1.9,2.5,4.5,1.3,0.3,1.8,1.2,5.5,mccontj01
291,Jaden McDaniels,PF,22,MIN,19,19,29.9,4.5,8.4,.535,1.1,2.9,.357,3.4,5.4,.631,.597,1.4,1.8,.765,1.4,2.1,3.5,1.4,1.1,1.4,1.5,3.7,11.4,mcdanja02
292,Jalen McDaniels,SF,25,CHO,21,3,25.8,3.6,8.1,.439,1.3,3.4,.375,2.3,4.7,.485,.518,1.3,1.5,.844,1.0,3.6,4.6,2.2,1.0,0.6,1.4,2.8,9.7,mcdanja01
293,Doug McDermott,SF,31,SAS,20,0,20.7,3.9,8.3,.473,2.0,4.8,.406,2.0,3.5,.565,.591,0.5,0.8,.625,0.3,1.6,1.9,1.5,0.1,0.2,1.0,1.7,10.3,mcderdo01
294,JaVale McGee,C,35,DAL,15,7,9.1,1.7,3.0,.578,0.0,0.0,,1.7,3.0,.578,.578,0.7,1.3,.550,0.7,1.9,2.6,0.3,0.2,0.5,1.0,1.2,4.2,mcgeeja01
295,Bryce McGowens,SG,20,CHO,6,0,9.0,1.3,2.7,.500,0.5,1.2,.429,0.8,1.5,.556,.594,1.2,1.2,1.000,0.0,0.7,0.7,1.2,0.3,0.3,0.3,0.3,4.3,mcgowbr01
296,Rodney McGruder,SG,31,DET,8,2,8.5,0.6,2.4,.263,0.4,1.8,.214,0.3,0.6,.400,.342,0.3,0.3,1.000,0.8,1.0,1.8,0.9,0.0,0.0,0.4,0.3,1.9,mcgruro01
297,Jordan McLaughlin,PG,26,MIN,15,0,15.8,1.5,3.5,.434,0.5,1.9,.241,1.1,1.6,.667,.500,0.4,0.4,1.000,0.3,1.3,1.6,3.7,0.8,0.1,0.6,0.4,3.9,mclaujo01
298,De'Anthony Melton,PG,24,PHI,20,13,28.1,4.2,10.2,.407,1.9,5.4,.355,2.3,4.9,.464,.500,0.7,1.1,.667,1.1,3.1,4.2,3.2,2.2,0.5,1.8,2.0,10.9,meltode01
299,Chimezie Metu,C,25,SAC,16,0,12.5,2.3,4.0,.578,0.2,1.0,.188,2.1,3.0,.708,.602,0.6,0.7,.909,0.7,2.6,3.3,0.7,0.3,0.2,0.6,1.1,5.4,metuch01
300,Patty Mills,PG,34,BRK,20,0,11.0,1.5,3.6,.423,1.1,2.8,.382,0.5,0.8,.563,.570,0.5,0.5,1.000,0.3,0.6,0.8,1.1,0.2,0.1,0.4,0.5,4.6,millspa02
301,Shake Milton,SG,26,PHI,18,7,23.3,4.5,8.4,.533,0.9,2.2,.400,3.6,6.2,.580,.586,1.6,1.9,.853,0.9,2.7,3.6,3.5,0.3,0.2,1.9,1.4,11.5,miltosh01
302,Josh Minott,SF,20,MIN,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,2.0,2.0,1.000,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,minotjo01
303,Davion Mitchell,PG,24,SAC,20,1,19.1,2.7,5.9,.462,0.9,2.7,.340,1.8,3.2,.563,.538,0.4,0.6,.727,0.1,1.2,1.3,2.1,0.5,0.2,1.1,1.5,6.7,mitchda01
304,Donovan Mitchell,SG,26,CLE,20,20,36.4,9.8,20.0,.490,3.8,9.0,.422,6.0,11.0,.545,.585,5.0,5.7,.885,0.8,3.2,4.0,5.1,1.5,0.4,3.0,2.4,28.4,mitchdo01
305,Evan Mobley,PF,21,CLE,22,22,33.8,6.2,11.1,.555,0.2,0.9,.200,6.0,10.2,.587,.563,2.5,3.6,.684,2.7,6.3,9.0,2.3,0.9,1.4,2.2,2.8,15.0,mobleev01
306,Isaiah Mobley,PF,23,CLE,7,0,3.6,0.6,1.1,.500,0.1,0.3,.500,0.4,0.9,.500,.563,0.0,0.0,,0.1,1.4,1.6,0.0,0.1,0.0,0.0,0.3,1.3,mobleis01
307,Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,1.0,.000,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,monekch01
308,Malik Monk,SG,24,SAC,20,0,22.5,5.3,10.8,.488,2.0,5.6,.360,3.3,5.2,.625,.581,2.1,2.3,.891,0.4,1.8,2.2,4.4,0.7,0.2,1.9,1.8,14.6,monkma01
309,Moses Moody,SG,20,GSW,18,1,14.8,1.6,3.9,.394,0.8,2.6,.326,0.7,1.4,.520,.500,1.0,1.2,.818,0.3,1.6,1.8,0.6,0.4,0.3,1.1,0.7,4.9,moodymo01
310,Wendell Moore Jr.,SG,21,MIN,5,1,6.4,0.6,2.0,.300,0.2,1.0,.200,0.4,1.0,.400,.350,0.4,0.6,.667,0.2,1.0,1.2,0.4,0.2,0.2,0.4,1.0,1.8,moorewe01
311,Ja Morant,PG,23,MEM,18,18,33.0,9.8,20.9,.468,1.8,4.7,.376,8.0,16.2,.495,.511,6.9,9.3,.743,1.3,4.9,6.3,7.6,1.1,0.3,3.9,1.8,28.2,moranja01
312,Marcus Morris,PF,33,LAC,21,21,30.2,5.5,12.0,.458,2.0,5.3,.375,3.5,6.6,.525,.542,1.1,1.5,.742,0.4,4.5,5.0,2.0,0.8,0.4,1.0,2.2,14.0,morrima03
313,Markieff Morris,PF,33,BRK,13,0,10.2,1.2,2.9,.395,0.9,2.0,.462,0.2,0.9,.250,.553,0.0,0.0,,0.4,1.7,2.1,1.0,0.4,0.2,0.6,1.2,3.2,morrima02
314,Monte Morris,PG,27,WAS,19,19,27.1,3.4,7.8,.439,1.1,3.0,.368,2.3,4.8,.484,.510,0.8,1.1,.714,0.4,3.3,3.7,5.1,0.8,0.2,0.8,1.3,8.7,morrimo01
315,Trey Murphy III,SF,22,NOP,19,9,28.1,4.4,9.1,.488,2.4,5.7,.413,2.1,3.3,.619,.619,1.8,1.9,.946,1.3,3.2,4.5,1.2,1.1,0.5,0.8,1.7,13.1,murphtr02
316,Dejounte Murray,SG,26,ATL,22,22,36.9,8.3,18.7,.443,2.1,6.0,.346,6.2,12.6,.489,.499,2.2,2.5,.875,0.7,5.1,5.8,6.6,1.9,0.4,2.7,1.7,20.9,murrade01
317,Jamal Murray,PG,25,DEN,17,17,29.5,6.9,15.5,.445,1.9,5.1,.379,4.9,10.4,.477,.508,2.1,2.7,.783,0.6,3.2,3.8,4.8,1.0,0.2,1.9,1.2,17.8,murraja01
318,Keegan Murray,SF,22,SAC,18,16,28.6,3.9,9.8,.398,1.8,5.6,.317,2.1,4.2,.507,.489,1.1,1.2,.864,0.9,3.1,3.9,0.9,0.7,0.6,1.7,2.1,10.6,murrake02
319,Mike Muscala,C,31,OKC,14,1,12.8,2.1,4.8,.433,1.0,3.1,.318,1.1,1.6,.652,.537,0.9,1.1,.750,0.5,3.0,3.5,0.8,0.1,0.6,0.5,1.7,6.0,muscami01
320,Svi Mykhailiuk,SF,25,NYK,6,0,2.7,0.5,0.8,.600,0.5,0.5,1.000,0.0,0.3,.000,.900,0.2,0.5,.333,0.0,0.7,0.7,0.0,0.0,0.0,0.2,0.0,1.7,mykhasv01
321,Larry Nance Jr.,PF,30,NOP,19,0,22.3,4.1,6.2,.667,0.4,0.8,.467,3.7,5.4,.696,.697,0.8,1.1,.762,1.7,3.6,5.3,1.9,0.8,0.8,1.0,2.1,9.4,nancela02
322,Andrew Nembhard,SG,23,IND,16,7,21.1,2.6,5.8,.452,1.3,3.3,.404,1.3,2.6,.512,.565,0.4,0.4,1.000,0.4,1.9,2.3,3.0,0.8,0.2,1.0,2.5,7.0,nembhan01
323,Aaron Nesmith,SF,23,IND,17,9,21.9,2.5,6.9,.364,1.4,4.1,.343,1.1,2.8,.396,.466,1.1,1.4,.792,0.5,2.7,3.2,1.3,0.5,0.6,1.1,2.7,7.6,nesmiaa01
324,Raul Neto,PG,30,CLE,15,0,8.9,1.1,2.4,.472,0.3,0.9,.308,0.9,1.5,.565,.528,0.5,0.5,.875,0.1,0.7,0.9,1.1,0.4,0.0,0.4,0.6,3.0,netora01
325,Georges Niang,PF,29,PHI,22,0,19.9,3.4,7.3,.469,2.4,5.4,.441,1.0,1.9,.548,.631,0.6,0.7,.867,0.2,2.0,2.1,1.1,0.4,0.3,0.7,2.2,9.8,niangge01
326,Daishen Nix,PG,20,HOU,19,0,14.8,1.1,3.1,.356,0.8,2.1,.375,0.3,1.0,.316,.483,0.4,0.5,.700,0.2,1.3,1.5,2.2,0.7,0.2,1.4,0.9,3.4,nixda01
327,Zeke Nnaji,PF,22,DEN,16,0,10.3,2.0,3.4,.593,0.2,0.8,.231,1.8,2.6,.707,.620,0.5,0.6,.800,1.0,0.4,1.4,0.1,0.2,0.1,0.5,1.6,4.7,nnajize01
328,Nerlens Noel,C,28,DET,6,0,10.3,0.7,2.2,.308,0.0,0.0,,0.7,2.2,.308,.308,0.5,0.7,.750,0.5,2.7,3.2,0.5,0.8,0.3,0.5,1.5,1.8,noelne01
329,Jaylen Nowell,SG,23,MIN,22,0,17.9,4.3,10.0,.430,1.3,4.2,.315,3.0,5.9,.512,.495,1.1,1.4,.774,0.6,2.1,2.8,2.0,0.6,0.1,1.0,1.4,11.0,nowelja01
330,Frank Ntilikina,PG,24,DAL,5,0,5.8,0.6,1.6,.375,0.2,1.0,.200,0.4,0.6,.667,.438,0.0,0.0,,0.0,1.0,1.0,0.6,0.4,0.0,0.2,0.4,1.4,ntilila01
331,Kendrick Nunn,PG,27,LAL,18,2,13.9,2.2,6.1,.364,0.9,3.1,.291,1.3,3.1,.436,.436,0.4,0.5,.889,0.1,1.3,1.4,1.3,0.1,0.1,1.3,0.8,5.8,nunnke01
332,Jusuf Nurkić,C,28,POR,19,19,29.3,5.4,10.6,.507,0.7,1.6,.419,4.7,8.9,.524,.540,2.8,3.7,.746,2.8,7.2,10.0,2.7,0.7,0.8,2.6,3.3,14.2,nurkiju01
333,Jordan Nwora,SF,24,MIL,19,1,18.4,2.1,6.3,.333,1.2,3.3,.349,0.9,3.0,.316,.425,1.2,1.4,.885,0.8,2.9,3.7,1.2,0.3,0.2,0.9,1.1,6.6,nworajo01
334,Royce O'Neale,SF,29,BRK,23,23,35.8,3.4,8.7,.392,2.3,5.6,.414,1.1,3.1,.352,.525,0.7,0.9,.762,0.9,4.3,5.2,4.7,1.2,0.7,1.7,3.2,9.8,onealro01
335,Chuma Okeke,PF,24,ORL,18,7,21.8,1.8,4.8,.368,1.0,3.3,.300,0.8,1.5,.519,.471,0.9,1.2,.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4,okekech01
336,Josh Okogie,SG,24,PHO,18,0,6.2,0.5,1.7,.290,0.1,0.8,.071,0.4,0.9,.471,.306,0.4,0.6,.700,0.6,0.9,1.5,0.3,0.4,0.3,0.5,1.1,1.4,okogijo01
337,Onyeka Okongwu,C,22,ATL,21,2,20.6,3.1,5.0,.635,0.0,0.1,.000,3.1,4.9,.647,.635,1.2,1.7,.743,2.2,3.9,6.1,1.0,0.5,0.8,0.9,3.0,7.5,okongon01
338,Isaac Okoro,SG,22,CLE,22,4,19.4,1.5,3.6,.405,0.3,1.6,.200,1.1,2.0,.568,.449,1.0,1.3,.821,0.6,1.6,2.2,0.6,0.7,0.1,0.8,2.2,4.3,okorois01
339,KZ Okpala,PF,23,SAC,12,3,7.8,0.6,1.2,.500,0.3,0.6,.429,0.3,0.6,.571,.607,0.3,0.3,1.000,0.3,0.8,1.2,0.4,0.2,0.2,0.1,1.2,1.8,okpalkz01
340,Kelly Olynyk,PF,31,UTA,24,24,28.5,4.6,8.2,.558,1.6,3.4,.476,3.0,4.8,.617,.657,2.3,2.9,.797,1.4,3.5,4.9,3.2,1.3,0.8,2.2,4.0,13.1,olynyke01
341,Eugene Omoruyi,SF,25,OKC,8,0,11.9,2.1,4.1,.515,0.8,1.6,.462,1.4,2.5,.550,.606,0.9,1.4,.636,0.8,1.0,1.8,0.3,0.4,0.0,0.6,2.6,5.9,omorueu01
342,Cedi Osman,SF,27,CLE,22,0,23.0,3.3,7.3,.453,1.5,4.1,.352,1.9,3.2,.586,.553,1.1,1.5,.727,0.3,2.7,3.0,1.6,0.3,0.1,1.0,2.0,9.2,osmande01
343,Kelly Oubre Jr.,SF,27,CHO,21,21,31.4,7.5,17.1,.436,2.3,7.4,.310,5.2,9.8,.532,.503,2.4,3.4,.718,1.5,3.8,5.2,1.2,1.7,0.3,1.2,3.1,19.7,oubreke01
344,Chris Paul,PG,37,PHO,10,10,30.2,2.8,7.6,.368,0.9,3.3,.273,1.9,4.3,.442,.428,3.0,3.4,.882,0.5,4.0,4.5,9.4,1.7,0.2,1.5,2.3,9.5,paulch01
345,Cameron Payne,PG,28,PHO,19,11,25.5,4.9,11.7,.417,1.8,4.6,.398,3.1,7.1,.430,.496,1.4,1.8,.771,0.4,2.2,2.6,5.2,0.9,0.3,2.2,2.4,13.1,payneca01
346,Theo Pinson,SG,27,DAL,5,0,3.2,0.2,0.4,.500,0.0,0.2,.000,0.2,0.2,1.000,.500,0.4,0.4,1.000,0.0,1.0,1.0,0.2,0.0,0.0,0.2,0.2,0.8,pinsoth01
347,Scotty Pippen Jr.,PG,22,LAL,2,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.5,2.0,.750,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.5,pippesc02
348,Mason Plumlee,C,32,CHO,21,21,27.1,3.3,5.8,.574,0.0,0.0,,3.3,5.8,.574,.574,2.2,3.9,.561,2.9,6.0,8.9,4.2,0.6,0.6,2.0,3.2,8.9,plumlma01
349,Jakob Poeltl,C,27,SAS,20,20,27.3,5.7,8.9,.640,0.0,0.0,,5.7,8.9,.640,.640,1.5,2.8,.518,3.9,6.0,9.9,3.5,0.9,1.0,2.4,2.3,12.9,poeltja01
350,Aleksej Pokusevski,PF,21,OKC,19,15,22.9,3.8,8.1,.468,1.4,3.3,.413,2.4,4.8,.505,.552,0.6,1.0,.579,1.7,3.3,4.9,1.6,0.7,1.6,1.4,1.8,9.5,pokusal01
351,Jordan Poole,SG,23,GSW,22,4,27.5,5.5,13.1,.415,2.1,6.9,.305,3.4,6.3,.536,.495,2.9,3.5,.842,0.3,1.7,2.0,4.6,0.9,0.3,3.0,2.3,15.9,poolejo01
352,Kevin Porter Jr.,PG,22,HOU,20,20,34.5,6.6,15.7,.417,2.1,5.8,.362,4.5,9.9,.449,.484,3.8,5.1,.735,1.6,4.3,5.9,6.0,1.3,0.5,3.8,2.9,19.0,porteke02
353,Michael Porter Jr.,SF,24,DEN,16,16,29.1,6.0,12.9,.466,2.9,6.9,.427,3.1,6.0,.510,.580,1.5,1.9,.800,1.2,4.8,6.0,1.3,0.6,0.4,1.1,2.6,16.4,portemi01
354,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,.500,0.8,2.1,.353,1.1,1.6,.692,.600,1.0,1.0,1.000,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5,porteot01
355,Bobby Portis,PF,27,MIL,20,5,27.0,5.5,11.6,.474,1.3,3.8,.329,4.3,7.8,.545,.528,1.1,1.4,.778,2.5,8.1,10.6,2.2,0.4,0.4,1.1,1.8,13.3,portibo01
356,Kristaps Porziņģis,PF,27,WAS,21,21,32.2,7.3,15.3,.475,2.2,5.9,.382,5.0,9.5,.533,.548,4.8,6.0,.795,2.2,6.5,8.7,2.5,0.8,1.6,1.8,3.3,21.6,porzikr01
357,Micah Potter,PF,24,UTA,2,0,6.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,1.0,2.0,pottemi01
358,Dwight Powell,C,31,DAL,18,14,17.1,2.3,3.3,.700,0.0,0.1,.000,2.3,3.3,.712,.700,1.3,2.1,.622,1.5,1.5,3.0,0.5,0.6,0.4,0.9,2.4,5.9,poweldw01
359,Norman Powell,SG,29,LAC,22,5,25.3,5.1,11.2,.459,1.6,4.3,.379,3.5,6.9,.510,.533,2.9,3.7,.780,0.4,2.5,2.9,1.5,0.8,0.3,1.8,1.8,14.8,powelno01
360,Jason Preston,PG,23,LAC,3,0,4.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.7,.000,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.3,1.7,prestja01
361,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,.346,0.8,3.0,.250,1.5,3.5,.429,.404,1.8,2.3,.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,7.0,primojo01
362,Taurean Prince,SF,28,MIN,18,0,19.6,2.8,5.7,.495,1.2,3.0,.389,1.7,2.7,.612,.597,1.1,1.2,.864,0.3,2.2,2.5,1.2,0.3,0.2,1.2,2.4,7.9,princta02
363,Payton Pritchard,PG,25,BOS,13,0,11.8,1.9,4.6,.417,1.1,2.7,.400,0.8,1.9,.440,.533,0.4,0.6,.625,0.6,0.9,1.5,1.2,0.4,0.1,0.8,0.4,5.3,pritcpa01
364,Immanuel Quickley,PG,23,NYK,22,0,22.5,3.2,8.2,.387,1.2,3.9,.302,2.0,4.3,.463,.459,1.8,2.1,.870,0.6,3.8,4.4,3.2,1.1,0.1,1.3,1.8,9.4,quickim01
365,Julius Randle,PF,28,NYK,22,22,33.2,7.3,15.7,.462,2.1,6.5,.331,5.1,9.3,.554,.530,4.5,5.8,.766,2.2,6.4,8.6,3.5,0.8,0.2,2.8,3.4,21.1,randlju01
366,Austin Reaves,SG,24,LAL,20,8,28.8,3.4,6.2,.540,1.2,2.9,.397,2.2,3.3,.667,.633,3.0,3.3,.909,0.8,2.6,3.3,2.1,0.5,0.4,1.1,1.5,10.9,reaveau01
367,Cam Reddish,SF,23,NYK,19,8,22.6,3.2,6.9,.462,0.9,2.8,.315,2.3,4.1,.564,.527,1.5,1.7,.879,0.4,1.3,1.6,1.0,0.8,0.4,0.6,1.6,8.8,reddica01
368,Davon Reed,SG,27,DEN,16,1,11.3,0.9,3.1,.286,0.6,1.8,.357,0.3,1.3,.190,.388,0.5,0.6,.800,0.2,1.5,1.7,0.4,0.3,0.1,0.8,1.2,2.9,reedda01
369,Paul Reed,C,23,PHI,19,0,12.3,1.5,2.5,.604,0.0,0.2,.000,1.5,2.4,.644,.604,0.3,0.4,.750,1.4,2.8,4.2,0.6,1.1,0.7,0.8,2.4,3.4,reedpa01
370,Naz Reid,C,23,MIN,16,0,13.5,3.0,5.7,.527,0.7,2.3,.306,2.3,3.4,.673,.588,0.9,1.4,.652,0.4,2.1,2.6,0.6,0.3,0.8,0.7,2.3,7.6,reidna01
371,Nick Richards,C,25,CHO,21,0,19.7,3.6,5.9,.610,0.0,0.0,,3.6,5.9,.610,.610,2.3,3.1,.738,3.0,3.6,6.7,0.7,0.1,0.9,1.0,2.2,9.4,richani01
372,Josh Richardson,SG,29,SAS,17,2,22.8,3.5,8.6,.404,1.7,4.7,.363,1.8,3.9,.455,.503,1.6,1.9,.844,0.4,1.8,2.2,3.0,0.7,0.1,1.7,1.8,10.2,richajo01
373,Austin Rivers,SG,30,MIN,12,2,12.8,0.8,2.3,.357,0.3,1.5,.222,0.5,0.8,.600,.429,0.8,0.9,.909,0.0,1.1,1.1,0.7,0.1,0.1,0.3,0.9,2.8,riverau01
374,Duncan Robinson,SF,28,MIA,17,0,17.2,2.1,5.9,.360,1.4,4.3,.315,0.8,1.6,.481,.475,0.5,0.6,.900,0.2,1.8,2.1,1.2,0.2,0.0,0.6,1.9,6.1,robindu01
375,Mitchell Robinson,C,24,NYK,14,13,22.7,3.4,4.6,.723,0.0,0.0,,3.4,4.6,.723,.723,0.9,1.9,.444,3.8,3.7,7.5,0.9,0.5,2.1,0.6,3.2,7.6,robinmi01
376,Orlando Robinson,C,22,MIA,2,0,20.0,3.0,6.5,.462,0.0,1.5,.000,3.0,5.0,.600,.462,1.0,1.5,.667,1.0,3.5,4.5,0.5,1.0,0.5,0.5,2.5,7.0,robinor01
377,Jeremiah Robinson-Earl,PF,22,OKC,21,14,20.6,3.2,6.6,.493,1.2,3.1,.400,2.0,3.5,.575,.587,0.8,1.0,.727,1.6,3.2,4.9,1.0,0.8,0.5,0.5,1.9,8.5,robinje02
378,Isaiah Roby,PF,24,SAS,17,0,13.0,1.9,4.1,.457,0.6,1.7,.379,1.2,2.4,.512,.536,0.5,1.1,.444,0.4,2.2,2.6,1.3,0.4,0.4,0.5,1.4,4.9,robyis01
379,David Roddy,PF,21,MEM,21,0,18.1,2.3,5.9,.390,1.0,3.2,.313,1.3,2.7,.482,.476,0.6,0.8,.750,0.8,1.9,2.7,0.5,0.4,0.2,0.7,1.6,6.1,roddyda01
380,Ryan Rollins,PG,20,GSW,7,0,6.1,0.7,2.1,.333,0.4,1.1,.375,0.3,1.0,.286,.433,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.0,0.0,1.7,1.3,2.1,rolliry01
381,Derrick Rose,PG,34,NYK,20,0,13.6,2.6,6.5,.403,0.9,2.4,.362,1.8,4.1,.427,.469,0.5,0.5,1.000,0.4,1.4,1.8,2.0,0.4,0.3,0.9,0.7,6.6,rosede01
382,Terrence Ross,SG,31,ORL,19,8,24.7,3.4,8.1,.422,1.7,4.4,.386,1.7,3.7,.465,.526,0.5,0.7,.692,0.3,1.9,2.2,1.4,0.7,0.2,1.3,1.7,9.0,rosste01
383,Terry Rozier,PG,28,CHO,13,13,37.2,7.9,20.8,.380,2.6,8.7,.301,5.3,12.2,.437,.443,2.1,2.6,.794,1.5,3.2,4.7,5.6,0.6,0.2,2.8,1.9,20.5,roziete01
384,D'Angelo Russell,PG,26,MIN,22,22,31.3,5.3,12.5,.425,1.9,6.0,.318,3.4,6.5,.524,.502,1.9,2.5,.759,0.6,2.7,3.4,6.7,1.3,0.6,2.7,2.0,14.4,russeda01
385,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,.306,1.1,2.9,.371,0.2,1.2,.143,.439,0.3,0.4,.800,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,3.9,ryanma01
386,Domantas Sabonis,PF,26,SAC,20,20,32.2,6.1,10.4,.585,0.4,1.2,.292,5.7,9.2,.623,.601,4.2,5.7,.743,2.2,8.8,11.0,6.4,0.8,0.5,2.6,3.8,16.7,sabondo01
387,Dario Šarić,PF,28,PHO,8,0,9.4,1.0,3.3,.308,0.3,1.3,.200,0.8,2.0,.375,.346,0.4,0.5,.750,1.4,1.9,3.3,0.9,0.4,0.0,0.5,1.4,2.6,saricda01
388,Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,schakjo01
